Value,Count,MapZone,FBP_30m_90,CA_FuelType,CA_SprHaz,CA_SumHaz,z01x_cfdrs,LF_FuelType,LF_SprHaz,LF_SumHaz,SprDiff,SumDiff
122,16176,1,625,M-1/M-2 (25 PC),5,3,105,VNF,0,0,5,3
123,14058,1,105,VNF,0,0,101,NF,0,0,0,0
124,1602,1,650,M-1/M-2 (50 PC),7,6,105,VNF,0,0,7,6
125,1306,1,4,C-4,10,10,100,NA,0,0,10,10
126,735,1,102,Water,0,0,105,VNF,0,0,0,0
127,253,1,2,C-2,10,10,101,NF,0,0,10,10
128,806,1,105,VNF,0,0,100,NA,0,0,0,0
129,386,1,415,M-1 (15 PC),3,3,105,VNF,0,0,3,3
130,128175,1,2,C-2,10,10,7,C-7,4,3,6,7
131,1940914,1,3,C-3,7,7,1,C-1,7,7,0,0
132,126139,1,2,C-2,10,10,1,C-1,7,7,3,3
133,137138,1,5,C-5,3,2,1,C-1,7,7,-4,-5
134,3138,1,625,M-1/M-2 (25 PC),5,3,1,C-1,7,7,-2,-4
135,488914,1,4,C-4,10,10,1,C-1,7,7,3,3
136,32833,1,415,M-1 (15 PC),3,3,1,C-1,7,7,-4,-4
137,26020,1,675,M-1/M-2 (75 PC),8,8,1,C-1,7,7,1,1
138,345,1,675,M-1/M-2 (75 PC),8,8,105,VNF,0,0,8,8
139,48352,1,31,O-1a,8,2,1,C-1,7,7,1,-5
140,2,1,11,D-1,3,3,1,C-1,7,7,-4,-4
141,10842,1,7,C-7,4,3,1,C-1,7,7,-3,-4
142,185398,1,13,D-1/D-2,3,1,1,C-1,7,7,-4,-6
143,4064,1,101,NF,0,0,1,C-1,7,7,-7,-7
144,217,1,102,Water,0,0,1,C-1,7,7,-7,-7
145,32,1,2,C-2,10,10,105,VNF,0,0,10,10
146,313,1,4,C-4,10,10,105,VNF,0,0,10,10
147,618,1,105,VNF,0,0,102,Water,0,0,0,0
148,14,1,650,M-1/M-2 (50 PC),7,6,1,C-1,7,7,0,-1
149,20,1,105,VNF,0,0,105,VNF,0,0,0,0
150,208092,1,105,VNF,0,0,1,C-1,7,7,-7,-7
